project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,,
sample_event,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2024,Summer 2022,Summer 2022,Summer 2024,Summer 2024,Summer 2024,Summer 2024,Summer 2024,Summer 2022,Summer 2024,Summer 2022,Summer 2024,Summer 2024,Summer 2024,Summer 2024,,
stream_name,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Squirrel Creek,Bear River,Bear River,Steephollow Creek,Dry Creek,Oregon Creek,Shady Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Squirrel Creek,Deer Creek,Bear River,Dry Creek,Oregon Creek,Fall Creek,Shady Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Bear River,Bear River,,
site_name,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12,OC,SC,RC,DC 1,DC 2,DC 6,DC 8,DC 16,DC 19,BR 1,BR 12,OC,FC,SC,RC,DC 1,DC 2,DC 6,DC 8,DC 11,DC 16,DC 19,BR 1,BR 2,BR 3,BR 12,,
sample_date,7/20/22,6/27/22,6/29/22,6/16/22,7/19/22,6/30/22,7/5/22,6/23/22,5/31/22,6/15/22,7/6/22,6/21/22,7/27/22,7/25/22,8/3/22,6/30/23,6/29/23,6/27/23,7/17/23,6/9/23,6/14/23,6/16/23,6/16/23,6/13/23,6/15/23,6/23/23,6/5/24,6/12/24,6/6/24,6/11/24,7/2/24,6/18/24,6/13/24,6/20/24,5/29/24,6/26/24,6/4/24,6/9/24,6/27/24,6/17/24,6/25/24,,
reach_length,150,150,150,150,150,150,150,150,150,140,150,150,150,150,150,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,100,100,100,100,100,100,100,100,100,100,100,,
elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS_lat,39.44568,39.300995,39.2957,39.2679016,39.2603646,39.239,39.2302,39.22381,39.2615,39.201,39.22895,39.308907,39.1756,39.180073,39.11362,39.44568,39.332662,39.300995,39.2957,39.2679,39.239,39.2302,39.22895,39.2380248,39.30891,39.11362,39.44568,39.3778819,39.19576,39.300995,39.2957,39.268013,39.239,39.2294426,,39.22895,39.2603646,39.3088776,39.1756,39.180078,39.11362,,
GPS_long,-121.04653,-120.928669,-120.8865,-121.0019639,-121.0320418,-121.1872,-121.2442,-121.269861,-121.0137,-121.1772,-121.24228,-120.667372,-120.893455,-120.8957487,-121.27325,-121.04653,-121.090793,-120.928669,-120.8865,-121.002,-121.1872,-121.2442,-121.24228,-121.0394025,-121.242,-121.273,-121.04653,-120.6734235,-121.05269,-120.928669,-120.8865,-121.001377,-121.1872,-121.2452174,,-121.24228,-121.0320418,-120.6674978,-120.893455,-120.895742,-121.27325,,
pct_fine,0,3.03030303,0,8,1,1,0,0,17,0,1,3,0,0,6.18556701,0,1.020408163,2.083333333,0,0,0,0,4,0,0,4,0,0,0,32,4,4,16,8,4,20,0,4,4,0,20,,
